node_id,faq_id,tipo_faq,perfil,node_kind,tema,subtema,titulo_exibido,pergunta_exibida,descricao_interna,resposta,acao,abre_atendimento,fila_destino,criticidade_padrao,sla_padrao,ativo,ordem,permite_anexo,campos_exigidos_json,palavras_chave_csv,tags_csv,publication_status,node_version
faq-aluno-tema-matricula,faq-aluno,aluno,aluno,theme,matricula,,Matricula e rematricula,Qual assunto de matricula precisa de ajuda?,Tema de entrada para matricula,,ir_para_subniveis,false,sra,media,48h,true,1,false,"[]","matricula,rematricula,prazo","matricula",draft,2026.03.24-draft-03
faq-aluno-ramo-rematricula,faq-aluno,aluno,aluno,branch,matricula,rematricula,Rematricula,Sua duvida e sobre rematricula?,Ramo para rematricula,,ir_para_subniveis,false,sra,media,48h,true,1,false,"[]","rematricula","matricula",draft,2026.03.24-draft-03
faq-aluno-rematricula-perda-prazo,faq-aluno,aluno,aluno,leaf,matricula,perda_de_prazo,Perdi o prazo de rematricula,Perdi o prazo de rematricula,Fluxo para perda de prazo na rematricula,O periodo de rematricula segue o calendario academico vigente. Se a orientacao nao resolver seu caso registre a solicitacao pelo portal.,abrir_atendimento,true,sra,media,48h,true,1,true,"[""descricao"",""anexo_opcional""]","matricula,rematricula,prazo","matricula,periodo-academico",draft,2026.03.24-draft-03
faq-aluno-tema-provas,faq-aluno,aluno,aluno,theme,provas,,Provas,Sua duvida e sobre prova ou segunda chamada?,Tema de entrada para provas,,ir_para_subniveis,false,suporte_academico_digital,alta,24h,true,2,false,"[]","prova,segunda chamada,avaliacao","provas",draft,2026.03.24-draft-03
faq-aluno-ramo-provas-segunda-chamada,faq-aluno,aluno,aluno,branch,provas,segunda_chamada,Segunda chamada,Sua situacao exige segunda chamada?,Ramo para segunda chamada,,ir_para_subniveis,false,suporte_academico_digital,alta,24h,true,1,false,"[]","provas,segunda chamada","provas",draft,2026.03.24-draft-03
faq-aluno-ramo-provas-motivo-medico,faq-aluno,aluno,aluno,branch,provas,motivo_medico,Motivo medico,O motivo esta relacionado a atestado medico?,Ramo para motivo medico,,ir_para_subniveis,false,suporte_academico_digital,alta,24h,true,1,false,"[]","provas,atestado,medico","provas,motivo-medico",draft,2026.03.24-draft-03
faq-aluno-provas-envio-atestado,faq-aluno,aluno,aluno,leaf,provas,envio_de_atestado,Envio de atestado,Preciso enviar atestado para segunda chamada,Fluxo para envio de atestado em provas,Envie o atestado dentro do periodo vigente. Se precisar de analise individual abra atendimento com o anexo.,abrir_atendimento_com_anexo,true,suporte_academico_digital,alta,24h,true,1,true,"[""descricao"",""anexo_obrigatorio""]","provas,atestado,segunda chamada","provas,documento",draft,2026.03.24-draft-03
faq-aluno-tema-atividades-avaliativas,faq-aluno,aluno,aluno,theme,atividades_avaliativas,,Atividades avaliativas,Sua duvida e sobre entrega ou prazo?,Tema de entrada para atividades avaliativas,,ir_para_subniveis,false,suporte_academico_digital,alta,24h,true,3,false,"[]","atividade avaliativa,entrega,prazo","atividades_avaliativas",draft,2026.03.24-draft-03
faq-aluno-ramo-atividades-entrega,faq-aluno,aluno,aluno,branch,atividades_avaliativas,entrega,Entrega de atividade,A duvida e sobre entrega da atividade?,Ramo para entrega de atividade,,ir_para_subniveis,false,suporte_academico_digital,alta,24h,true,1,false,"[]","atividade,prazo,entrega","atividades_avaliativas",draft,2026.03.24-draft-03
faq-aluno-atividades-prazo-encerrado,faq-aluno,aluno,aluno,leaf,atividades_avaliativas,prazo_encerrado,Prazo encerrado,O prazo da atividade ja encerrou,Fluxo para atividade fora do prazo,Consulte as regras vigentes da disciplina. Se seu caso precisar de analise individual abra atendimento pelo portal.,abrir_atendimento,true,suporte_academico_digital,alta,24h,true,1,false,"[""descricao"",""anexo_opcional""]","atividade,prazo,encerrado","atividades_avaliativas,prazo",draft,2026.03.24-draft-03
